"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R2";"R_0402_1005Metric";2;"27.4";;;
2;"C16,C17";"C_0402_1005Metric";2;"10 uF";;;
3;"FB1";"L_0402_1005Metric";1;"BLM15AX102SN1D";;;
4;"C2,C1";"C_0402_1005Metric";2;"100 nf";;;
5;"U3";"SOT-363_SC-70-6";1;"PE4259";;;
6;"C18";"C_0402_1005Metric";1;"39 pF";;;
7;"SW3";"SW_SPST_PTS647_Sx70";1;"RESET";;;
8;"U6";"SOT-23-5";1;"AP2112K-3.3";;;
9;"C10";"C_0402_1005Metric";1;"100 nF (C8 - C14 &C24)";;;
10;"C19,C20";"C_0402_1005Metric";2;"3.3 pF";;;
11;"R1";"R_0402_1005Metric";1;"100";;;
12;"C5,C4";"C_0402_1005Metric";2;"47 pF";;;
13;"SW2";"SW_SPST_PTS647_Sx70";1;"BOOTSEL";;;
14;"C15,C8,C12,C14,C9,C23,C22,C11,C13";"C_0402_1005Metric";9;"100 nF";;;
15;"C24";"C_0402_1005Metric";1;"100nF";;;
16;"C21,C7";"C_0402_1005Metric";2;"1 uF";;;
17;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12Mhz";;;
18;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
19;"R5";"R_0402_1005Metric";1;"1k";;;
20;"L2";"L_0402_1005Metric";1;"47 nH";;;
21;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0_16P";;;
22;"U4";"Balun_Johanson_0900FM15K0039";1;"0900FM15D0039E";;;
23;"AE1";"PinSocket_1x01_P2.54mm_Vertical";1;"Antenna";;;
24;"C6";"C_0402_1005Metric";1;"1 nF";;;
25;"R6,R7";"R_0402_1005Metric";2;"5.1 k";;;
26;"U1";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"SX1262IMLTRT";;;
27;"C3";"C_0402_1005Metric";1;"47 nF";;;
28;"L1";"L_0201_0603Metric";1;"15uH";;;
29;"R4";"R_0402_1005Metric";1;"10k";;;
30;"L3";"L_0402_1005Metric";1;"9.1 nH";;;
31;"U5";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
